index,Language,Length,Accuracy
6-English-Latin1,English-Latin1,6,0.2
8-English-Latin1,English-Latin1,8,0.2807017543859649
10-English-Latin1,English-Latin1,10,0.3111111111111111
11-English-Latin1,English-Latin1,11,0.38461538461538464
4-English-Latin1,English-Latin1,4,0.49056603773584906
5-English-Latin1,English-Latin1,5,0.4230769230769231
12-English-Latin1,English-Latin1,12,0.2222222222222222
9-English-Latin1,English-Latin1,9,0.3090909090909091
13-English-Latin1,English-Latin1,13,0.16666666666666666
7-English-Latin1,English-Latin1,7,0.44285714285714284
3-English-Latin1,English-Latin1,3,0.42105263157894735
2-English-Latin1,English-Latin1,2,0.3684210526315789
14-English-Latin1,English-Latin1,14,0.0
1-English-Latin1,English-Latin1,1,0.0
15-English-Latin1,English-Latin1,15,1.0
9-French_Francais-Latin1,French_Francais-Latin1,9,0.6896551724137931
4-French_Francais-Latin1,French_Francais-Latin1,4,0.7857142857142857
5-French_Francais-Latin1,French_Francais-Latin1,5,0.7272727272727273
10-French_Francais-Latin1,French_Francais-Latin1,10,0.625
3-French_Francais-Latin1,French_Francais-Latin1,3,0.6333333333333333
6-French_Francais-Latin1,French_Francais-Latin1,6,0.7246376811594203
7-French_Francais-Latin1,French_Francais-Latin1,7,0.5789473684210527
2-French_Francais-Latin1,French_Francais-Latin1,2,0.5238095238095238
8-French_Francais-Latin1,French_Francais-Latin1,8,0.6274509803921569
11-French_Francais-Latin1,French_Francais-Latin1,11,0.7142857142857143
14-French_Francais-Latin1,French_Francais-Latin1,14,0.9090909090909091
12-French_Francais-Latin1,French_Francais-Latin1,12,0.6111111111111112
1-French_Francais-Latin1,French_Francais-Latin1,1,0.25
13-French_Francais-Latin1,French_Francais-Latin1,13,0.6363636363636364
15-French_Francais-Latin1,French_Francais-Latin1,15,1.0
10-Spanish-Latin1,Spanish-Latin1,10,0.5409836065573771
9-Spanish-Latin1,Spanish-Latin1,9,0.543859649122807
5-Spanish-Latin1,Spanish-Latin1,5,0.5925925925925926
13-Spanish-Latin1,Spanish-Latin1,13,0.375
8-Spanish-Latin1,Spanish-Latin1,8,0.6164383561643836
6-Spanish-Latin1,Spanish-Latin1,6,0.4222222222222222
12-Spanish-Latin1,Spanish-Latin1,12,0.6956521739130435
4-Spanish-Latin1,Spanish-Latin1,4,0.5806451612903226
14-Spanish-Latin1,Spanish-Latin1,14,0.5384615384615384
1-Spanish-Latin1,Spanish-Latin1,1,0.5
7-Spanish-Latin1,Spanish-Latin1,7,0.609375
11-Spanish-Latin1,Spanish-Latin1,11,0.5333333333333333
3-Spanish-Latin1,Spanish-Latin1,3,0.36363636363636365
2-Spanish-Latin1,Spanish-Latin1,2,0.2631578947368421
15-Spanish-Latin1,Spanish-Latin1,15,0.6666666666666666
13-Italian-Latin1,Italian-Latin1,13,0.8333333333333334
9-Italian-Latin1,Italian-Latin1,9,0.7
4-Italian-Latin1,Italian-Latin1,4,0.717948717948718
8-Italian-Latin1,Italian-Latin1,8,0.7424242424242424
7-Italian-Latin1,Italian-Latin1,7,0.6944444444444444
10-Italian-Latin1,Italian-Latin1,10,0.6444444444444445
3-Italian-Latin1,Italian-Latin1,3,0.39285714285714285
12-Italian-Latin1,Italian-Latin1,12,0.7727272727272727
6-Italian-Latin1,Italian-Latin1,6,0.6231884057971014
11-Italian-Latin1,Italian-Latin1,11,0.5
14-Italian-Latin1,Italian-Latin1,14,0.8888888888888888
5-Italian-Latin1,Italian-Latin1,5,0.5970149253731343
1-Italian-Latin1,Italian-Latin1,1,0.42857142857142855
2-Italian-Latin1,Italian-Latin1,2,0.3
15-Italian-Latin1,Italian-Latin1,15,1.0
6-German_Deutsch-Latin1,German_Deutsch-Latin1,6,0.7741935483870968
11-German_Deutsch-Latin1,German_Deutsch-Latin1,11,0.9534883720930233
5-German_Deutsch-Latin1,German_Deutsch-Latin1,5,0.6808510638297872
7-German_Deutsch-Latin1,German_Deutsch-Latin1,7,0.8723404255319149
14-German_Deutsch-Latin1,German_Deutsch-Latin1,14,0.9523809523809523
4-German_Deutsch-Latin1,German_Deutsch-Latin1,4,0.5714285714285714
8-German_Deutsch-Latin1,German_Deutsch-Latin1,8,0.864406779661017
10-German_Deutsch-Latin1,German_Deutsch-Latin1,10,0.9583333333333334
12-German_Deutsch-Latin1,German_Deutsch-Latin1,12,0.9565217391304348
13-German_Deutsch-Latin1,German_Deutsch-Latin1,13,0.96
9-German_Deutsch-Latin1,German_Deutsch-Latin1,9,0.8571428571428571
3-German_Deutsch-Latin1,German_Deutsch-Latin1,3,0.7142857142857143
16-German_Deutsch-Latin1,German_Deutsch-Latin1,16,1.0
15-German_Deutsch-Latin1,German_Deutsch-Latin1,15,0.8461538461538461
2-German_Deutsch-Latin1,German_Deutsch-Latin1,2,0.4444444444444444
18-German_Deutsch-Latin1,German_Deutsch-Latin1,18,1.0
17-German_Deutsch-Latin1,German_Deutsch-Latin1,17,1.0
21-German_Deutsch-Latin1,German_Deutsch-Latin1,21,1.0
1-German_Deutsch-Latin1,German_Deutsch-Latin1,1,0.0
20-German_Deutsch-Latin1,German_Deutsch-Latin1,20,1.0
19-German_Deutsch-Latin1,German_Deutsch-Latin1,19,1.0
