index,Language,Length,Accuracy
2-English-Latin1,English-Latin1,2,0.8947368421052632
13-English-Latin1,English-Latin1,13,1.0
11-English-Latin1,English-Latin1,11,0.9615384615384616
8-English-Latin1,English-Latin1,8,0.9473684210526315
5-English-Latin1,English-Latin1,5,1.0
7-English-Latin1,English-Latin1,7,0.9142857142857143
10-English-Latin1,English-Latin1,10,0.8444444444444444
3-English-Latin1,English-Latin1,3,0.9736842105263158
4-English-Latin1,English-Latin1,4,1.0
6-English-Latin1,English-Latin1,6,0.9692307692307692
9-English-Latin1,English-Latin1,9,0.9818181818181818
12-English-Latin1,English-Latin1,12,1.0
1-English-Latin1,English-Latin1,1,0.0
14-English-Latin1,English-Latin1,14,1.0
15-English-Latin1,English-Latin1,15,1.0
6-French_Francais-Latin1,French_Francais-Latin1,6,0.9420289855072463
10-French_Francais-Latin1,French_Francais-Latin1,10,0.925
8-French_Francais-Latin1,French_Francais-Latin1,8,0.8823529411764706
9-French_Francais-Latin1,French_Francais-Latin1,9,0.896551724137931
7-French_Francais-Latin1,French_Francais-Latin1,7,0.9342105263157895
11-French_Francais-Latin1,French_Francais-Latin1,11,0.9142857142857143
4-French_Francais-Latin1,French_Francais-Latin1,4,0.9285714285714286
3-French_Francais-Latin1,French_Francais-Latin1,3,0.9333333333333333
5-French_Francais-Latin1,French_Francais-Latin1,5,0.9696969696969697
1-French_Francais-Latin1,French_Francais-Latin1,1,0.625
12-French_Francais-Latin1,French_Francais-Latin1,12,0.7777777777777778
2-French_Francais-Latin1,French_Francais-Latin1,2,0.6666666666666666
14-French_Francais-Latin1,French_Francais-Latin1,14,0.8181818181818182
13-French_Francais-Latin1,French_Francais-Latin1,13,0.9090909090909091
15-French_Francais-Latin1,French_Francais-Latin1,15,1.0
7-Spanish-Latin1,Spanish-Latin1,7,0.9375
9-Spanish-Latin1,Spanish-Latin1,9,0.9298245614035088
11-Spanish-Latin1,Spanish-Latin1,11,0.9333333333333333
10-Spanish-Latin1,Spanish-Latin1,10,0.9836065573770492
8-Spanish-Latin1,Spanish-Latin1,8,0.9315068493150684
3-Spanish-Latin1,Spanish-Latin1,3,0.9090909090909091
5-Spanish-Latin1,Spanish-Latin1,5,0.9259259259259259
12-Spanish-Latin1,Spanish-Latin1,12,1.0
6-Spanish-Latin1,Spanish-Latin1,6,0.9555555555555556
14-Spanish-Latin1,Spanish-Latin1,14,0.9230769230769231
1-Spanish-Latin1,Spanish-Latin1,1,0.8333333333333334
4-Spanish-Latin1,Spanish-Latin1,4,0.9354838709677419
2-Spanish-Latin1,Spanish-Latin1,2,0.631578947368421
13-Spanish-Latin1,Spanish-Latin1,13,1.0
15-Spanish-Latin1,Spanish-Latin1,15,1.0
3-Italian-Latin1,Italian-Latin1,3,0.8214285714285714
8-Italian-Latin1,Italian-Latin1,8,0.9545454545454546
5-Italian-Latin1,Italian-Latin1,5,0.9850746268656716
6-Italian-Latin1,Italian-Latin1,6,1.0
10-Italian-Latin1,Italian-Latin1,10,0.9333333333333333
7-Italian-Latin1,Italian-Latin1,7,0.9861111111111112
13-Italian-Latin1,Italian-Latin1,13,1.0
9-Italian-Latin1,Italian-Latin1,9,0.9833333333333333
1-Italian-Latin1,Italian-Latin1,1,0.42857142857142855
4-Italian-Latin1,Italian-Latin1,4,0.9230769230769231
12-Italian-Latin1,Italian-Latin1,12,1.0
14-Italian-Latin1,Italian-Latin1,14,1.0
11-Italian-Latin1,Italian-Latin1,11,0.9642857142857143
2-Italian-Latin1,Italian-Latin1,2,0.65
15-Italian-Latin1,Italian-Latin1,15,0.75
2-German_Deutsch-Latin1,German_Deutsch-Latin1,2,0.5555555555555556
7-German_Deutsch-Latin1,German_Deutsch-Latin1,7,1.0
5-German_Deutsch-Latin1,German_Deutsch-Latin1,5,1.0
11-German_Deutsch-Latin1,German_Deutsch-Latin1,11,1.0
16-German_Deutsch-Latin1,German_Deutsch-Latin1,16,1.0
8-German_Deutsch-Latin1,German_Deutsch-Latin1,8,1.0
3-German_Deutsch-Latin1,German_Deutsch-Latin1,3,0.9142857142857143
13-German_Deutsch-Latin1,German_Deutsch-Latin1,13,1.0
6-German_Deutsch-Latin1,German_Deutsch-Latin1,6,1.0
14-German_Deutsch-Latin1,German_Deutsch-Latin1,14,1.0
15-German_Deutsch-Latin1,German_Deutsch-Latin1,15,1.0
9-German_Deutsch-Latin1,German_Deutsch-Latin1,9,1.0
4-German_Deutsch-Latin1,German_Deutsch-Latin1,4,1.0
10-German_Deutsch-Latin1,German_Deutsch-Latin1,10,1.0
1-German_Deutsch-Latin1,German_Deutsch-Latin1,1,0.0
12-German_Deutsch-Latin1,German_Deutsch-Latin1,12,1.0
18-German_Deutsch-Latin1,German_Deutsch-Latin1,18,1.0
20-German_Deutsch-Latin1,German_Deutsch-Latin1,20,1.0
17-German_Deutsch-Latin1,German_Deutsch-Latin1,17,1.0
19-German_Deutsch-Latin1,German_Deutsch-Latin1,19,1.0
21-German_Deutsch-Latin1,German_Deutsch-Latin1,21,1.0
